# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-t" "exon" "-g" "gene_id" "-a" "data/chr19_20Mb.gtf" "-o" "counts.txt" "aligned/Aligned.sortedByCoord.out.bam" "-s" "1" 
Geneid	aligned/Aligned.sortedByCoord.out.bam
ENSG00000225373.4	155
ENSG00000267588.2	10
ENSG00000233630.4	4
ENSG00000266945.2	0
ENSG00000267310.1	0
ENSG00000176695.5	0
ENSG00000267792.1	0
ENSG00000266971.1	5
ENSG00000267616.1	7
ENSG00000267290.1	1
ENSG00000267237.2	61
ENSG00000267639.2	3
ENSG00000272098.1	164
ENSG00000267029.3	0
ENSG00000206082.8	408
ENSG00000222329.1	3
ENSG00000267600.1	35
ENSG00000267305.1	3
ENSG00000271846.1	0
ENSG00000267447.1	0
ENSG00000141934.5	423
ENSG00000267124.2	0
ENSG00000105556.6	868
ENSG00000105549.6	10
ENSG00000267443.1	0
ENSG00000183186.6	68
ENSG00000129946.6	323
ENSG00000252539.1	0
ENSG00000181781.5	8
ENSG00000099866.10	28
ENSG00000266933.1	8
ENSG00000141933.8	241
ENSG00000099804.4	1324
ENSG00000197540.3	60
ENSG00000267751.1	59
ENSG00000172270.14	13852
ENSG00000099822.2	470
ENSG00000267036.1	0
ENSG00000266939.1	7
ENSG00000099821.9	2883
ENSG00000272448.1	3
ENSG00000261204.1	3
ENSG00000070388.7	2
ENSG00000070423.13	1373
ENSG00000267666.1	12
ENSG00000070404.5	1136
ENSG00000185198.7	5
ENSG00000213726.4	0
ENSG00000099864.13	456
ENSG00000099812.6	702
ENSG00000272473.1	9
ENSG00000267530.2	47
ENSG00000266927.2	5
ENSG00000011304.12	11481
ENSG00000265767.1	0
ENSG00000129951.14	246
ENSG00000263414.1	9
ENSG00000172232.5	250
ENSG00000196415.5	108
ENSG00000197561.2	323
ENSG00000197766.3	398
ENSG00000175221.10	1587
ENSG00000207507.1	1
ENSG00000198858.5	1137
ENSG00000116014.5	93
ENSG00000116017.6	2144
ENSG00000267159.1	1
ENSG00000065268.6	995
ENSG00000269169.1	0
ENSG00000266990.1	1
ENSG00000116032.5	50
ENSG00000182087.8	5811
ENSG00000207357.1	14
ENSG00000064666.10	4173
ENSG00000267020.1	0
ENSG00000064687.8	1629
ENSG00000180448.6	1930
ENSG00000099817.7	2754
ENSG00000167468.12	2928
ENSG00000064932.11	2924
ENSG00000118046.10	1771
ENSG00000267736.1	0
ENSG00000099625.8	240
ENSG00000267778.1	4
ENSG00000099624.3	2065
ENSG00000167470.8	4794
ENSG00000099622.9	2467
ENSG00000267493.2	12
ENSG00000228300.9	571
ENSG00000160953.10	1189
ENSG00000099617.2	124
ENSG00000240846.1	0
ENSG00000267372.1	0
ENSG00000267755.1	3
ENSG00000115286.15	1146
ENSG00000248015.2	149
ENSG00000130005.7	772
ENSG00000071626.12	4841
ENSG00000267759.1	27
ENSG00000115268.5	6280
ENSG00000268798.1	33
ENSG00000115266.7	111
ENSG00000267317.1	169
ENSG00000119559.11	837
ENSG00000115257.11	219
ENSG00000267715.1	0
ENSG00000115255.6	405
ENSG00000185761.6	226
ENSG00000267092.1	1
ENSG00000185988.7	6
ENSG00000266399.1	0
ENSG00000181588.15	1201
ENSG00000222720.1	0
ENSG00000239367.2	0
ENSG00000267161.1	110
ENSG00000071655.13	1965
ENSG00000267059.2	0
ENSG00000266926.1	19
ENSG00000127540.7	246
ENSG00000071564.10	5445
ENSG00000252933.1	7
ENSG00000267073.1	4
ENSG00000205922.4	6
ENSG00000130270.12	335
ENSG00000267007.1	2
ENSG00000079313.7	1689
ENSG00000223244.1	0
ENSG00000267244.1	4
ENSG00000267125.1	1
ENSG00000129911.4	1106
ENSG00000267141.1	0
ENSG00000261526.1	126
ENSG00000267232.1	0
ENSG00000129968.11	1753
ENSG00000227500.5	986
ENSG00000213638.4	132
ENSG00000198683.2	0
ENSG00000133275.11	3178
ENSG00000180846.4	0
ENSG00000133243.4	2488
