# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-t" "exon" "-g" "gene_id" "-a" "data/chr19_20Mb.gtf" "-o" "counts.txt" "aligned/Aligned.sortedByCoord.out.bam" "-s" "1" 	# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-t" "exon" "-g" "gene_id" "-a" "data/chr19_20Mb.gtf" "-o" "counts.txt" "aligned/Aligned.sortedByCoord.out.bam" "-s" "1" 
Geneid	               HBR      UHRR
ENSG00000225373.4	63	155
ENSG00000267588.2	8	10
ENSG00000233630.4	1	4
ENSG00000266945.2	0	0
ENSG00000267310.1	0	0
ENSG00000176695.5	0	0
ENSG00000267792.1	0	0
ENSG00000266971.1	6	5
ENSG00000267616.1	3	7
ENSG00000267290.1	9	1
ENSG00000267237.2	23	61
ENSG00000267639.2	4	3
ENSG00000272098.1	62	164
ENSG00000267029.3	0	0
ENSG00000206082.8	172	408
ENSG00000222329.1	1	3
ENSG00000267600.1	16	35
ENSG00000267305.1	11	3
ENSG00000271846.1	0	0
ENSG00000267447.1	0	0
ENSG00000141934.5	235	423
ENSG00000267124.2	0	0
ENSG00000105556.6	336	868
ENSG00000105549.6	6	10
ENSG00000267443.1	0	0
ENSG00000183186.6	591	68
ENSG00000129946.6	1034	323
ENSG00000252539.1	0	0
ENSG00000181781.5	15	8
ENSG00000099866.10	79	28
ENSG00000266933.1	4	8
ENSG00000141933.8	241	241
ENSG00000099804.4	919	1324
ENSG00000197540.3	3	60
ENSG00000267751.1	6	59
ENSG00000172270.14	8807	13852
ENSG00000099822.2	1568	470
ENSG00000267036.1	0	0
ENSG00000266939.1	0	7
ENSG00000099821.9	1644	2883
ENSG00000272448.1	0	3
ENSG00000261204.1	0	3
ENSG00000070388.7	34	2
ENSG00000070423.13	705	1373
ENSG00000267666.1	15	12
ENSG00000070404.5	140	1136
ENSG00000185198.7	0	5
ENSG00000213726.4	0	0
ENSG00000099864.13	5406	456
ENSG00000099812.6	3	702
ENSG00000272473.1	3	9
ENSG00000267530.2	0	47
ENSG00000266927.2	0	5
ENSG00000011304.12	676	11481
ENSG00000265767.1	0	0
ENSG00000129951.14	541	246
ENSG00000263414.1	0	9
ENSG00000172232.5	10	250
ENSG00000196415.5	31	108
ENSG00000197561.2	3	323
ENSG00000197766.3	26	398
ENSG00000175221.10	1208	1587
ENSG00000207507.1	0	1
ENSG00000198858.5	619	1137
ENSG00000116014.5	11	93
ENSG00000116017.6	96	2144
ENSG00000267159.1	0	1
ENSG00000065268.6	338	995
ENSG00000269169.1	0	0
ENSG00000266990.1	0	1
ENSG00000116032.5	0	50
ENSG00000182087.8	2430	5811
ENSG00000207357.1	3	14
ENSG00000064666.10	114	4173
ENSG00000267020.1	0	0
ENSG00000064687.8	360	1629
ENSG00000180448.6	166	1930
ENSG00000099817.7	1943	2754
ENSG00000167468.12	2440	2928
ENSG00000064932.11	347	2924
ENSG00000118046.10	1560	1771
ENSG00000267736.1	0	0
ENSG00000099625.8	662	240
ENSG00000267778.1	19	4
ENSG00000099624.3	1623	2065
ENSG00000167470.8	940	4794
ENSG00000099622.9	4047	2467
ENSG00000267493.2	3	12
ENSG00000228300.9	202	571
ENSG00000160953.10	2358	1189
ENSG00000099617.2	21	124
ENSG00000240846.1	0	0
ENSG00000267372.1	0	0
ENSG00000267755.1	1	3
ENSG00000115286.15	1325	1146
ENSG00000248015.2	51	149
ENSG00000130005.7	609	772
ENSG00000071626.12	1071	4841
ENSG00000267759.1	8	27
ENSG00000115268.5	2022	6280
ENSG00000268798.1	23	33
ENSG00000115266.7	8106	111
ENSG00000267317.1	14	169
ENSG00000119559.11	426	837
ENSG00000115257.11	87	219
ENSG00000267715.1	0	0
ENSG00000115255.6	192	405
ENSG00000185761.6	15	226
ENSG00000267092.1	5	1
ENSG00000185988.7	43	6
ENSG00000266399.1	0	0
ENSG00000181588.15	361	1201
ENSG00000222720.1	0	0
ENSG00000239367.2	0	0
ENSG00000267161.1	32	110
ENSG00000071655.13	1313	1965
ENSG00000267059.2	0	0
ENSG00000266926.1	2	19
ENSG00000127540.7	243	246
ENSG00000071564.10	544	5445
ENSG00000252933.1	0	7
ENSG00000267073.1	0	4
ENSG00000205922.4	1	6
ENSG00000130270.12	17	335
ENSG00000267007.1	0	2
ENSG00000079313.7	1466	1689
ENSG00000223244.1	0	0
ENSG00000267244.1	0	4
ENSG00000267125.1	0	1
ENSG00000129911.4	908	1106
ENSG00000267141.1	0	0
ENSG00000261526.1	41	126
ENSG00000267232.1	0	0
ENSG00000129968.11	2496	1753
ENSG00000227500.5	779	986
ENSG00000213638.4	38	132
ENSG00000198683.2	0	0
ENSG00000133275.11	1702	3178
ENSG00000180846.4	0	0
ENSG00000133243.4	3702	2488
