# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-t" "exon" "-g" "gene_id" "-a" "data/chr19_20Mb.gtf" "-o" "counts.txt" "aligned/Aligned.sortedByCoord.out.bam" "-s" "1" 
Geneid	aligned/Aligned.sortedByCoord.out.bam
ENSG00000225373.4	63
ENSG00000267588.2	8
ENSG00000233630.4	1
ENSG00000266945.2	0
ENSG00000267310.1	0
ENSG00000176695.5	0
ENSG00000267792.1	0
ENSG00000266971.1	6
ENSG00000267616.1	3
ENSG00000267290.1	9
ENSG00000267237.2	23
ENSG00000267639.2	4
ENSG00000272098.1	62
ENSG00000267029.3	0
ENSG00000206082.8	172
ENSG00000222329.1	1
ENSG00000267600.1	16
ENSG00000267305.1	11
ENSG00000271846.1	0
ENSG00000267447.1	0
ENSG00000141934.5	235
ENSG00000267124.2	0
ENSG00000105556.6	336
ENSG00000105549.6	6
ENSG00000267443.1	0
ENSG00000183186.6	591
ENSG00000129946.6	1034
ENSG00000252539.1	0
ENSG00000181781.5	15
ENSG00000099866.10	79
ENSG00000266933.1	4
ENSG00000141933.8	241
ENSG00000099804.4	919
ENSG00000197540.3	3
ENSG00000267751.1	6
ENSG00000172270.14	8807
ENSG00000099822.2	1568
ENSG00000267036.1	0
ENSG00000266939.1	0
ENSG00000099821.9	1644
ENSG00000272448.1	0
ENSG00000261204.1	0
ENSG00000070388.7	34
ENSG00000070423.13	705
ENSG00000267666.1	15
ENSG00000070404.5	140
ENSG00000185198.7	0
ENSG00000213726.4	0
ENSG00000099864.13	5406
ENSG00000099812.6	3
ENSG00000272473.1	3
ENSG00000267530.2	0
ENSG00000266927.2	0
ENSG00000011304.12	676
ENSG00000265767.1	0
ENSG00000129951.14	541
ENSG00000263414.1	0
ENSG00000172232.5	10
ENSG00000196415.5	31
ENSG00000197561.2	3
ENSG00000197766.3	26
ENSG00000175221.10	1208
ENSG00000207507.1	0
ENSG00000198858.5	619
ENSG00000116014.5	11
ENSG00000116017.6	96
ENSG00000267159.1	0
ENSG00000065268.6	338
ENSG00000269169.1	0
ENSG00000266990.1	0
ENSG00000116032.5	0
ENSG00000182087.8	2430
ENSG00000207357.1	3
ENSG00000064666.10	114
ENSG00000267020.1	0
ENSG00000064687.8	360
ENSG00000180448.6	166
ENSG00000099817.7	1943
ENSG00000167468.12	2440
ENSG00000064932.11	347
ENSG00000118046.10	1560
ENSG00000267736.1	0
ENSG00000099625.8	662
ENSG00000267778.1	19
ENSG00000099624.3	1623
ENSG00000167470.8	940
ENSG00000099622.9	4047
ENSG00000267493.2	3
ENSG00000228300.9	202
ENSG00000160953.10	2358
ENSG00000099617.2	21
ENSG00000240846.1	0
ENSG00000267372.1	0
ENSG00000267755.1	1
ENSG00000115286.15	1325
ENSG00000248015.2	51
ENSG00000130005.7	609
ENSG00000071626.12	1071
ENSG00000267759.1	8
ENSG00000115268.5	2022
ENSG00000268798.1	23
ENSG00000115266.7	8106
ENSG00000267317.1	14
ENSG00000119559.11	426
ENSG00000115257.11	87
ENSG00000267715.1	0
ENSG00000115255.6	192
ENSG00000185761.6	15
ENSG00000267092.1	5
ENSG00000185988.7	43
ENSG00000266399.1	0
ENSG00000181588.15	361
ENSG00000222720.1	0
ENSG00000239367.2	0
ENSG00000267161.1	32
ENSG00000071655.13	1313
ENSG00000267059.2	0
ENSG00000266926.1	2
ENSG00000127540.7	243
ENSG00000071564.10	544
ENSG00000252933.1	0
ENSG00000267073.1	0
ENSG00000205922.4	1
ENSG00000130270.12	17
ENSG00000267007.1	0
ENSG00000079313.7	1466
ENSG00000223244.1	0
ENSG00000267244.1	0
ENSG00000267125.1	0
ENSG00000129911.4	908
ENSG00000267141.1	0
ENSG00000261526.1	41
ENSG00000267232.1	0
ENSG00000129968.11	2496
ENSG00000227500.5	779
ENSG00000213638.4	38
ENSG00000198683.2	0
ENSG00000133275.11	1702
ENSG00000180846.4	0
ENSG00000133243.4	3702
